nid;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167
MN25;49040;49273;49547;50244;51445;54217;63601;82483;112383;163744;214982;253696;276630;284090;280153;267343;244955;207422;151722;101976;69637;55783;51551;50488;50040;49507;49832;50778;52429;56124;66956;87804;119603;169480;219110;257354;280452;288290;284916;271895;249942;213431;157136;105847;72152;56873;51927;50630;50146;49346;49312;49701;50726;53581;64639;87267;121044;172311;223181;260601;282681;289503;285361;272554;250472;212961;156320;104493;70494;55771;51041;50279;49968;49334;49430;49862;50832;53967;65446;88211;121411;169998;220189;258572;281806;289191;285195;272040;248982;211777;156344;106180;72444;57051;51847;50632;50296;49479;49372;49729;50745;53617;64067;84860;114831;158873;204907;240691;261940;267853;262889;249337;227993;195309;149379;108265;78992;62988;54116;48797;48601;48380;48418;48647;49013;49682;50702;52500;54878;58581;63463;68273;71307;72019;69893;66571;62495;58424;54376;51308;49132;47924;47348;47320;47583;47951;48409;48838;49204;49719;50274;51101;52272;54066;56159;57951;59102;58940;57974;56891;55689;54173;52148;49839;48346;47931;48195;48683
MN04;61654;62918;63526;63639;63697;63336;61438;58053;54501;51240;48905;47296;46045;45414;44939;44654;44874;45874;47870;50379;52855;55001;56991;59019;61046;62631;63387;63640;63766;63450;61506;57988;54104;50186;47625;45818;44732;44061;43628;43489;43754;44736;46565;49012;51561;53877;56204;58549;60880;62573;63398;63639;63819;63635;61732;58155;54234;50818;48477;46800;45766;45175;44741;44615;44893;45810;47564;49778;52079;54223;56355;58595;60826;62538;63351;63633;63849;63572;61572;57936;54169;50921;48571;46830;45753;45063;44595;44449;44665;45535;47190;49308;51531;53595;55712;57950;60226;62121;63187;63639;63909;63758;62015;58583;54873;51411;48491;46265;44765;43837;43084;42604;42624;43399;45112;47541;50047;52406;54650;56868;58861;60681;62231;63330;64029;64330;64065;63193;61925;60264;58191;55950;53859;52026;50423;49115;48323;48294;48910;50054;51391;52868;54617;56555;58413;60152;61571;62776;63527;63892;63867;63372;62500;61215;59498;57453;55492;53819;52346;51219;50613;50881;51872;53344;54969;56526;58185;59925
MN11;56038;56720;57016;57101;57286;57525;56659;54338;51539;48784;46260;43851;42028;41028;40494;40311;40493;41344;43090;45571;48186;50483;52443;54162;55590;56549;56979;57076;57211;57407;56680;54524;51666;48861;46374;44109;42366;41330;40729;40535;40822;41671;43255;45434;47797;49957;51933;53797;55391;56488;56966;57076;57249;57470;56584;54246;51436;48713;46158;43699;41798;40704;40065;39804;40068;40992;42696;45019;47536;49803;51802;53741;55393;56489;56984;57076;57272;57615;56922;54762;52008;49125;46408;43931;42099;41080;40618;40539;40752;41520;43065;45153;47432;49577;51563;53412;55103;56317;56914;57076;57281;57633;57165;55367;52978;50557;48138;45891;44148;43147;42680;42455;42699;43314;44562;46212;48071;49823;51385;52823;53973;55097;56107;56814;57278;57597;57730;57530;57127;56451;55479;54325;53219;52238;51353;50484;49919;49660;49795;50182;50692;51325;52045;52933;53866;54786;55661;56408;56950;57356;57601;57749;57696;57552;57266;56853;56246;55325;53858;52252;50957;50327;50523;51233;52195;53130;54076;55074
MN01;60144;60574;60797;60872;60908;60335;57967;53791;49231;45749;43746;42490;41641;41220;40961;41054;41672;43144;45389;48349;51359;53742;55431;56791;58125;59426;60664;61716;62717;62853;60377;55271;49926;46374;44094;42418;41329;40556;40044;39921;40416;41887;44320;47309;50504;53106;54960;56490;57997;59435;60717;61854;62966;63052;60553;55450;49936;46044;43666;42049;41053;40365;39969;39976;40535;42018;44352;47155;50215;52690;54591;56225;57839;59335;60583;61799;63073;63253;60639;55315;49810;46277;44025;42399;41268;40540;40009;39797;40270;41626;43883;46681;49702;52333;54304;56007;57650;59230;60647;62064;63314;63521;61203;56476;51440;47977;45869;44368;43433;42876;42619;42841;43550;44853;46814;49311;51872;54027;55730;57232;58414;59440;60242;60829;61167;61010;60562;59986;59352;58692;57953;57228;56659;56184;55735;55430;55343;55547;55972;56544;57049;57561;58195;58801;59372;59922;60467;60859;61071;60954;60655;60229;59742;59244;58719;58211;57759;57255;56783;56495;56384;56605;57051;57595;58163;58660;59101;59579
MN17;51674;42298;38525;37752;38634;43294;62369;107669;181933;297481;433308;557971;643887;683997;694765;676740;631265;546524;428979;306101;210392;147914;106059;78168;58055;44679;38900;38022;39257;44554;63531;108712;185370;303743;440656;567204;654563;694849;705392;687481;643217;562673;450413;331761;237221;171267;122623;87203;61707;45827;39050;37720;38751;43897;63291;110622;189689;314642;459151;589063;679369;721475;732801;716469;672086;586100;464872;337637;237177;169207;120862;86696;61790;45878;39082;37793;38741;43983;63998;111621;189602;307881;448705;576536;664762;704064;713207;696074;652415;570299;456121;336056;238951;172951;125237;91059;65364;48102;39872;37649;38630;43473;61239;104261;176224;286920;416119;528335;609157;645525;651363;631017;588500;518304;423609;325033;244224;183620;136633;98674;75634;57723;45973;39664;37519;38490;43023;53576;70102;92479;118233;144439;167406;186927;203608;214836;218647;213666;202012;185417;166239;144073;119545;96032;76640;61801;49996;41732;37740;36830;38400;44468;54749;69657;88239;108891;128592;149548;170563;186745;193167;186471;170105;148336;126441;105697;85195;66725
MN21;38186;37137;36725;36651;36813;37166;39554;44924;51635;58502;66362;74784;82025;86407;87426;86086;82920;78682;72907;65387;57609;50828;45623;41633;38906;37425;36778;36579;36615;36937;39500;45236;52493;59768;67901;76546;83656;87881;88642;87018;83688;79413;73934;66990;59604;52986;47447;42820;39417;37507;36794;36591;36703;37107;39825;45657;53077;60466;68586;77640;85489;90286;91125;89437;85991;81524;75596;68210;60434;53547;47879;43179;39658;37664;36835;36585;36620;36895;39611;45581;52970;60060;67822;76473;83933;88332;88988;87118;83670;79389;74068;67692;60932;54733;49256;44318;40395;38007;36920;36585;36606;36866;39066;44131;50500;56731;63322;70305;76128;79151;78715;75972;72167;68574;65135;61312;57103;53085;49221;45393;42299;39835;38123;37101;36649;36460;36732;37717;39237;41223;43749;46766;49464;51320;52178;52422;52374;52089;51555;50603;49354;47834;45947;43821;41696;39738;38271;37281;36729;36471;36465;36816;37589;38819;40662;42950;43739;45396;46664;47706;48403;48632;48028;46694;45078;43459;41722;39840
MN50;26784;26660;26598;26567;26567;26753;27094;27497;27745;27776;27714;27652;27559;27404;27249;27094;26939;26877;26815;26784;26784;26815;26908;26939;26846;26691;26598;26567;26567;26722;27156;27621;27931;27993;27900;27776;27621;27528;27404;27249;27032;26939;26939;26970;26970;26970;27001;27001;26877;26691;26598;26567;26567;26753;27187;27683;27993;28055;27993;27869;27745;27590;27404;27187;27001;26846;26722;26660;26660;26753;26908;27001;26908;26722;26598;26567;26567;26753;27218;27714;28024;27869;27714;27745;27714;27559;27311;27032;26846;26784;26784;26815;26846;26908;27001;27001;26908;26722;26598;26567;26567;26784;27187;27590;27869;27962;27869;27745;27621;27466;27218;27001;26877;26908;27063;27218;27311;27342;27342;27311;27218;27063;26815;26598;26517;26517;26567;26660;26753;26815;26846;26846;26784;26629;26442;26267;26192;26267;26467;26691;26908;27032;27125;27187;27187;27063;26877;26660;26567;26567;26567;26598;26629;26598;26567;26542;26492;26442;26342;26292;26292;26392;26567;26753;26877;26939;26939;26877
MN06;29791;30112;30225;30219;30283;30401;30197;29601;28932;28289;27781;27505;27295;27147;26884;26591;26343;26291;26402;26587;26835;27199;27799;28564;29377;29946;30166;30211;30299;30416;30223;29632;28973;28355;27862;27487;27243;27017;26784;26616;26508;26500;26521;26569;26649;26927;27550;28400;29280;29914;30161;30211;30339;30529;30367;29737;29040;28350;27883;27611;27441;27223;26874;26568;26358;26344;26468;26609;26816;27124;27671;28425;29264;29899;30140;30211;30363;30631;30523;29917;29169;28486;27991;27643;27457;27283;27007;26812;26652;26562;26524;26464;26469;26688;27298;28132;29060;29782;30101;30211;30377;30645;30537;29895;29124;28386;27805;27367;27069;26817;26472;26212;26032;26044;26220;26471;26733;27051;27491;28027;28668;29309;29810;30135;30387;30734;31082;31307;31393;31385;31284;31100;30772;30276;29516;28636;27892;27521;27396;27408;27480;27588;27802;28140;28568;29028;29474;29890;30195;30437;30580;30603;30589;30649;30791;30932;30884;30492;29756;28916;28286;28088;28151;28344;28569;28768;29046;29388
MN99;212;219;224;231;251;297;372;541;1050;1937;3099;4253;5053;5335;5222;4842;4254;3319;2099;926;202;58;94;143;189;206;222;238;263;316;396;604;1148;2085;3248;4365;5115;5372;5258;4878;4317;3421;2200;990;210;12;63;124;175;206;226;242;271;318;380;590;1194;2166;3409;4540;5307;5571;5455;5069;4470;3537;2262;1020;216;22;50;118;176;200;221;244;276;336;441;696;1297;2224;3435;4635;5447;5712;5573;5127;4477;3537;2267;1043;222;17;52;117;176;200;223;253;288;357;464;666;1188;2006;3104;4204;4951;5182;5015;4583;3992;3181;2127;1105;391;148;81;133;171;193;202;217;276;339;384;404;421;517;685;869;989;993;880;697;499;358;249;211;211;211;212;212;212;212;212;215;256;288;300;296;291;324;402;482;556;570;531;460;378;318;258;210;211;212;212;212
Chelsea and Clinton;213590;198374;191965;190366;190998;195787;220674;281773;379610;527260;702667;866676;981652;1035549;1048323;1023048;964048;859428;717361;572167;455075;369846;304877;256471;222387;201905;192649;190723;191942;196470;219109;277215;374014;519203;688589;844119;955840;1008535;1021270;998029;943437;848603;719533;585703;475896;391089;321729;266852;227311;203764;193312;190801;191748;197226;223054;287644;392470;552643;739118;910707;1031607;1087997;1100809;1076742;1018350;912116;765834;615409;493408;401850;328578;271290;229748;204684;193617;190988;191752;197333;223181;286803;388462;539266;719264;886161;1003130;1055368;1065139;1040034;983468;883502;747597;607864;493372;406230;334596;277482;234741;207706;194605;190360;191696;199899;228470;293472;397306;550569;729222;827955;918151;964307;968683;938930;882509;794878;680101;562374;463178;386519;324914;274108;240745;215845;199867;191715;189660;190941;197634;213446;239040;274633;316890;360390;398202;428922;453382;468997;473681;465254;446617;421185;392973;361073;324748;287783;255166;229236;209496;196609;190461;188861;191028;199943;215730;239400;269655;303459;334810;367166;398767;423399;434052;425916;402871;370855;337594;304527;270409;238843
Inwood and Washington Heights;346350;350897;353080;353514;353717;351512;341455;324120;306245;290793;281473;275665;271675;268850;266311;264646;265180;268406;275101;285479;297625;309568;320863;331386;341236;348352;352897;355640;358096;357070;345571;324844;303797;288401;278455;271498;266782;263249;260667;259657;260160;263177;269499;279511;291911;304646;317232;329321;340017;347925;352740;355881;358939;358282;347031;326297;304446;288037;277881;271111;266728;263420;260942;259822;260562;263682;269704;279304;291545;304108;316701;328891;339725;347676;352530;355889;359110;358509;346925;325813;304532;289001;279172;272481;267846;264252;261140;259350;259602;262452;268237;277801;289586;301937;314348;326537;337754;346389;352117;356330;359928;359881;349571;330150;310302;295526;285581;278590;273902;270291;267352;265865;266309;269316;275347;284798;295379;306106;316616;326745;335258;342489;348601;353114;356449;357367;356044;352440;347523;341666;334468;327002;320255;314250;308543;303753;300970;300929;303198;307081;311481;316440;322479;329028;335550;341838;347540;352273;355547;356865;356313;353915;350222;345224;339039;332199;325881;319970;314215;309640;307202;308028;311412;316426;322016;327612;333719;340121
Gramercy Park and Murray Hill;195602;193280;192731;193314;194772;199610;216381;248303;290342;348067;411729;470961;513342;533987;537627;527626;504715;464004;402662;333440;275601;239703;219883;207799;199755;194651;192822;192910;193689;198047;215989;250273;295025;350818;414870;476692;520670;541598;544842;533606;509663;468919;408655;340320;282613;245905;224574;210656;200865;194725;192713;192642;193433;197775;215494;249559;294470;353091;419626;481004;525257;546742;549893;539305;515739;473866;412303;342678;284013;246890;225471;211692;201712;195339;192949;192860;193551;197628;215325;249274;294240;349893;413195;474920;521022;542567;545011;533971;510620;469873;409731;342941;286094;249968;228505;213945;202976;195584;192748;192636;193392;197399;213275;244032;284341;335592;394530;451851;493180;511773;511625;497191;472311;435632;385904;331522;285330;253874;232119;214661;206904;200340;195708;193281;192732;193816;197330;203515;211334;219513;227484;235110;240913;244310;245300;244437;242260;238336;232901;226888;221356;216327;211314;206342;201812;197598;194427;192360;191574;191844;192912;195592;199699;204735;210455;216503;215169;219641;223495;226562;228066;227174;223682;218849;214061;209611;204793;199810
East Harlem;149888;150927;151338;151439;151638;151828;151028;148644;145756;142580;139886;137813;136336;135175;133699;132029;130872;130951;132509;134889;137775;140584;143486;146436;149038;150559;151236;151355;151552;151768;150912;148511;145529;142717;140189;138117;136490;135191;133540;131689;130303;130056;131143;133467;136039;138828;142050;145464;148532;150400;151211;151355;151583;151838;151056;148580;145435;142008;139265;137027;135341;133941;132292;130507;129218;129054;130344;132646;135332;138287;141588;145190;148325;150305;151148;151355;151657;152044;151371;149061;146036;143069;140339;137942;136161;134699;133049;131283;130016;130004;131209;133307;135904;138589;141706;145066;148046;150114;151069;151355;151669;152157;151720;149911;147449;144923;142745;141028;139719;138584;137177;135476;133878;133320;134069;135517;137287;139094;141229;143417;145916;148196;149933;151011;151626;152087;152253;151917;151133;150085;148637;147087;145519;144209;142856;141699;140781;140361;140395;140695;141288;142238;143531;145012;146622;148131;149456;150511;151294;151752;152048;151870;151408;150760;149658;148273;146863;145631;144202;142899;141890;141416;141904;142753;143917;145166;146610;148345
Upper East Side;273678;272830;272685;272824;273274;275912;284786;300721;319381;335658;349860;363717;374282;378934;375756;365513;350548;334992;320206;306070;294061;285218;279612;276402;274389;273211;272760;272724;273125;275345;284704;302359;323678;343581;362169;379333;392167;396585;391687;379532;363531;346318;328577;310582;295252;284758;278597;275878;274342;273230;272539;272317;272608;275174;284335;301038;320586;336423;352285;367252;378097;382445;379063;369130;355105;339429;323009;306335;292315;282872;277689;275611;274372;273315;272732;272724;273107;275721;285445;303131;324096;343483;359736;374622;385682;390289;386858;376846;362514;345470;328105;310289;294809;284220;278174;275628;274217;273141;272651;272724;273429;276388;285714;302596;322649;339915;358543;376227;388755;393145;388550;376590;360717;344091;327951;312475;299200;288616;280404;274457;272628;272390;272337;272543;273267;274707;277680;282488;289319;297421;305692;313747;319892;322968;323099;320766;316683;311412;304886;297354;289867;283010;276886;272469;270184;269810;270284;270863;271653;272804;274431;276886;280405;285087;290479;295924;300580;303442;304302;303234;300538;296614;292038;287057;282802;279375;276879;274999
Lower East Side;216128;214669;214138;214040;214284;215015;217500;222085;227532;233581;241001;248202;253352;255299;254136;250561;245967;240489;234595;229259;225340;223003;220991;219056;216875;215105;214264;214033;214095;214749;217284;221964;227697;233670;241089;248748;254051;255740;254222;250535;245871;240891;235974;231764;228559;226150;223586;220835;217817;215386;214324;214037;214201;214914;217654;222889;228998;235200;242707;250241;255725;257346;255530;251405;246406;241152;235947;231472;228239;225891;223650;221144;218222;215660;214429;214080;214098;214653;217377;222569;228887;234806;241981;249271;254030;255254;253021;248591;243892;239296;234934;231595;229410;227715;225599;222906;219811;216833;215048;214035;214036;214479;216521;220765;226278;232512;239098;244916;249268;250470;248666;245222;241637;238473;236163;234610;233542;232411;230607;228180;225268;222016;218863;216267;214688;214019;214323;215729;218334;222556;228416;234469;239042;240946;241029;239914;238370;236535;234240;231834;229898;228767;228017;227278;225892;223392;220420;217513;215323;214181;213986;214871;216682;220063;225341;231244;235684;237935;238274;237850;236618;234610;231644;228194;225137;222752;220418;218141
Upper West Side;254123;253516;253543;253618;253860;255220;257665;260014;262128;265127;269818;275379;279294;280064;276973;270916;264155;258429;255635;255793;257528;258915;258096;256382;254488;253538;253538;253594;253780;254780;256072;256601;256226;254944;254715;253218;254317;253984;251103;246242;241023;237762;238234;241383;245833;249790;251988;253080;253233;253215;253510;253580;253755;255174;258125;261566;265177;269543;275380;281362;285149;285591;282232;275891;268704;262301;258300;256772;257213;257810;257029;255644;254184;253503;253527;253590;253858;255477;258590;262108;265793;270191;276550;282750;286952;287974;285098;279016;272077;265694;261326;258967;258510;258610;257537;256052;254484;253626;253447;253580;253850;255210;257914;261398;265430;270478;277092;283764;288371;289409;286432;280608;273996;268277;264602;262694;261999;261201;258913;255985;253493;252821;253171;253363;253797;255010;257309;260673;264793;269632;275259;281141;285995;288737;289302;288244;285794;282195;277089;271140;265578;261105;257248;253659;251215;250978;251709;252249;252839;253989;255678;257756;260639;264235;268677;273664;277980;281070;282715;282866;281373;278103;273127;267343;262347;259092;257070;255445
Central Harlem;225356;227365;228253;228654;229367;229757;228034;224233;220055;215778;212473;210154;208735;208101;206613;204926;203361;203436;205135;207588;210282;213183;216795;220681;224469;227081;228215;228510;229017;229336;227850;224529;220752;216834;213688;211221;209540;208405;206800;205248;204205;204314;205510;207075;208873;211258;214894;219367;223708;226845;228070;228488;229135;229624;227752;223640;219589;216226;212786;209864;207924;206465;204897;203363;202343;202816;204335;206468;208840;211511;214915;219161;223443;226591;228011;228469;229280;230083;228680;225100;221000;216535;212773;210032;208530;207631;206347;204991;203927;203995;204970;206249;207933;210308;213902;218196;222778;226231;227868;228507;229340;230179;229477;226823;223465;219348;214926;211489;209213;207643;205663;203476;201857;201548;202596;204100;206066;208331;211385;215038;218816;222625;225752;227954;229288;230328;231057;231103;230457;229162;226993;224345;221567;218591;215114;211601;208954;207519;207328;207875;208810;210292;212485;215259;218243;221390;224319;226735;228311;229341;229967;230091;229650;228898;227806;226254;224272;221489;217404;213288;210209;209176;210043;212112;214579;216975;219616;222487
Lower Manhattan;49040;49273;49547;50244;51445;54217;63601;82483;112383;163744;214982;253696;276630;284090;280153;267343;244955;207422;151722;101976;69637;55783;51551;50488;50040;49507;49832;50778;52429;56124;66956;87804;119603;169480;219110;257354;280452;288290;284916;271895;249942;213431;157136;105847;72152;56873;51927;50630;50146;49346;49312;49701;50726;53581;64639;87267;121044;172311;223181;260601;282681;289503;285361;272554;250472;212961;156320;104493;70494;55771;51041;50279;49968;49334;49430;49862;50832;53967;65446;88211;121411;169998;220189;258572;281806;289191;285195;272040;248982;211777;156344;106180;72444;57051;51847;50632;50296;49479;49372;49729;50745;53617;64067;84860;114831;158873;204907;240691;261940;267853;262889;249337;227993;195309;149379;108265;78992;62988;54116;48797;48601;48380;48418;48647;49013;49682;50702;52500;54878;58581;63463;68273;71307;72019;69893;66571;62495;58424;54376;51308;49132;47924;47348;47320;47583;47951;48409;48838;49204;49719;50274;51101;52272;54066;56159;57951;59102;58940;57974;56891;55689;54173;52148;49839;48346;47931;48195;48683
Greenwich Village and Soho;154521;146669;143287;142683;143309;146787;163343;198518;247888;312840;388828;463683;519365;547632;553194;541425;515076;470602;407067;335970;273829;229560;197884;174505;158045;148052;143556;142579;142953;146762;164947;202532;254247;319977;397519;474128;531065;559570;564628;552195;525548;481937;420513;351603;290468;244685;209580;182055;162136;149770;144055;142522;142824;146883;165474;203231;255607;322634;402362;480126;537656;565815;569665;556759;530177;486962;426132;357706;296510;249709;213044;184034;162910;150018;144165;142643;142687;146344;164138;200685;250059;313045;389512;464966;521017;548726;552753;540014;514935;474415;417933;354679;298248;254528;219348;190374;167847;152616;145027;142429;142658;145734;160748;192163;235995;293340;362239;430506;482139;507419;509768;496248;472222;437775;391631;340659;295042;259248;229599;202978;184374;168418;156241;148139;143539;141801;142969;148387;159378;178529;207439;240836;270733;292425;306337;313745;314366;307024;291885;272268;252972;236483;221347;206475;192025;177828;164889;154257;146795;142847;142144;144375;150377;162322;182513;207662;231079;248527;260588;267988;269419;263610;250061;231626;212927;196349;180903;166371
10001;97910;94076;92562;92216;92147;92481;97769;110610;129158;153692;183856;214550;237742;249649;252437;247847;237822;222301;202290;183298;162977;142968;124588;109449;99702;95050;92863;92303;92397;92861;98362;111814;131426;157447;188993;220843;244607;256946;259620;254818;244558;229227;209752;190395;170089;149644;129956;113011;101586;95737;93094;92363;92387;92987;98826;112702;132645;159203;190602;222299;246187;258247;260609;255702;245475;229990;210007;190647;170523;149981;130066;112834;101442;95740;93201;92413;92397;92950;98234;111036;129215;153422;182580;211724;233711;244839;246763;241793;232313;218520;200686;183441;166505;148589;130291;113827;102301;96068;93163;92313;92432;93392;98737;111065;129186;153839;183397;201905;217786;226749;227121;221254;211610;198829;183447;169168;154525;140802;127777;115803;106084;99075;94640;92514;91940;91981;93414;97164;103688;113512;126265;139877;151354;159731;165570;168835;169218;165674;158657;149850;141246;133334;125045;116637;108760;102153;97268;94207;92579;91895;92160;93961;97775;104239;113352;123732;132454;140376;147294;152482;154843;153457;148400;141001;132859;124144;114398;105040
